id,blind_screen,text_status,n_ours,n_blind,matched,missed,omission_candidates
2-s2.0-85217829893,INCLUDE,ok,1,5,1,0,1
2-s2.0-85218245924,INCLUDE,ok,2,2,2,0,0
2-s2.0-85218448454,INCLUDE,ok,1,1,1,0,0
2-s2.0-85218959905,INCLUDE,ok,1,1,1,0,0
2-s2.0-85219054979,INCLUDE,ok,2,4,2,0,0
2-s2.0-86000309569,INCLUDE,ok,2,2,2,0,0
2-s2.0-86000670842,INCLUDE,ok,3,3,1,2,2
2-s2.0-86000736431,INCLUDE,abstract_only,1,1,1,0,0
2603.11058,INCLUDE,ok,10,20,10,0,7
NEW-bergeronboutin-sciadv2026,INCLUDE,ok,3,10,3,0,5
NEW-berriche-fakerisland2026,INCLUDE,ok,2,2,2,0,0
NEW-jadara-2022,INCLUDE,ok,1,2,1,0,1
NEW-jung-icwsm,INCLUDE,ok,1,1,1,0,0
NEW-moreno-jmirderma,INCLUDE,ok,4,4,4,0,0
NEW-vanantwerpen-esm,INCLUDE,ok,2,2,2,0,0
OA-W2524060751,INCLUDE,abstract_only,1,0,0,1,0
OA-W2914761925,EXCLUDE,abstract_only,1,0,0,1,0
OA-W2992531903,INCLUDE,ok,4,2,2,2,0
OA-W3091627927,INCLUDE,ok,1,2,1,0,1
OA-W3113799821,INCLUDE,ok,0,1,0,0,0
OA-W3206858890,INCLUDE,abstract_only,1,1,1,0,0
OA-W4281924559,INCLUDE,ok,1,7,1,0,6
OA-W4291473423,INCLUDE,abstract_only,2,1,1,1,0
OA-W4360608277,INCLUDE,abstract_only,2,1,1,1,0
OA-W4377015071,INCLUDE,abstract_only,1,1,1,0,0
OA-W4407797130,INCLUDE,ok,4,7,4,0,2
OA-W4410388894,INCLUDE,abstract_only,1,1,1,0,0
OA-W4410566265,INCLUDE,abstract_only,1,1,1,0,0
OA-W7155615941,INCLUDE,abstract_only,1,1,1,0,0
